code,iata,icao,lat,lon,name,city,region,country,continent
ORY,ORY,LFPO,48.723333,2.379444,Aéroport de Paris-Orly,Paris,Île-de-France,France,Europe
BRS,BRS,EGGD,51.382778,-2.719167,Bristol Airport,Bristol,Somerset,England,Europe
BZR,BZR,LFMU,43.323333,3.353333,Béziers Cap d'Agde Airport,Béziers,Occitania,France,Europe
BSL,BSL,LFSB,47.59,7.529167,EuroAirport Basel Mulhouse Freiburg,Basel,Alsace,France,Europe
GRO,GRO,LEGE,41.900833,2.760556,Aeroport de Girona-Costa Brava,Girona,Catalonia,Spain,Europe
AAR,AAR,EKAH,56.304167,10.619167,Aarhus Airport,Aarhus,Midtjylland,Denmark,Europe
GOT,GOT,ESGG,57.66,12.291111,Göteborg Landvetter Airport,Gothenburg,Västra Götalands,Sweden,Europe
REG,REG,LICR,38.071944,15.653611,Aeroporto dello Stretto,Reggio Calabria,Calabria,Italy,Europe
TPS,TPS,LICT,37.911944,12.493333,Trapani-Birgi Airport,Trapani,Sicily,Italy,Europe
ICT,ICT,KICT,37.65,-97.433056,Wichita Dwight D. Eisenhower National Airport,Wichita,Kansas,United States,North America
LST,LST,YMLT,-41.545,147.215,Launceston Airport,Launceston,Tasmania,Australia,Australia
HBA,HBA,YMHB,-42.836667,147.51,Hobart Airport,Hobart,Tasmania,Australia,Australia
DPO,DPO,YPDO,-41.169722,146.430278,Devonport Airport,Devonport,Tasmania,Australia,Australia
BWT,BWT,YWYY,-40.998889,145.731111,Burnie Airport,Wynyard,Tasmania,Australia,Australia
CFS,CFS,YCFS,-30.32,153.116667,Coffs Harbour Airport,Coffs Harbor,New South Wales,Australia,Australia
MBW,MBW,YMMB,-37.975833,145.102222,Moorabbin Airport,Melbourne,Victoria,Australia
KNS,KNS,YKII,-39.8775,143.878333,King Island Airport,Currie,Tasmania,Australia
